url_path,views_total,views_unique
/caya8205-2/noctune,69,12
/caya8205-2/noctune/actions,12,1
/caya8205-2/noctune/releases/tag/v4.0.0,8,3
/caya8205-2/noctune/actions/workflows/github-repo-stats.yml,7,1
/caya8205-2/noctune/actions/workflows/repository-traffic-card.yml,7,1
/caya8205-2/noctune/releases/tag/v3.4.0,6,3
/caya8205-2/noctune/actions/workflows/pages/pages-build-deployment,5,1
/caya8205-2/noctune/releases,3,2
/caya8205-2/noctune/actions/runs/31547113300,3,1
/caya8205-2/noctune/actions/runs/32536408047,3,1
