time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-03 00:00:00+00:00,22,11,30,6
2026-09-04 00:00:00+00:00,25,12,7,2
2026-09-05 00:00:00+00:00,11,9,0,0
2026-09-06 00:00:00+00:00,7,6,1,1
2026-09-07 00:00:00+00:00,24,16,13,2
2026-09-08 00:00:00+00:00,7,6,4,1
2026-09-09 00:00:00+00:00,8,7,1,1
2026-09-10 00:00:00+00:00,17,11,0,0
2026-09-11 00:00:00+00:00,26,14,18,1
2026-09-12 00:00:00+00:00,29,15,18,1
2026-09-13 00:00:00+00:00,97,44,39,3
2026-09-14 00:00:00+00:00,7,6,11,3
2026-09-15 00:00:00+00:00,21,11,1,1
2026-09-16 00:00:00+00:00,30,16,5,2
