time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-17 00:00:00+00:00,36,19,6,3
2026-07-18 00:00:00+00:00,32,17,33,4
2026-07-19 00:00:00+00:00,4,4,9,2
2026-07-20 00:00:00+00:00,49,18,6,2
2026-07-21 00:00:00+00:00,39,16,23,1
2026-07-22 00:00:00+00:00,60,33,32,3
2026-07-23 00:00:00+00:00,40,23,15,3
2026-07-24 00:00:00+00:00,39,17,71,2
2026-07-25 00:00:00+00:00,59,36,37,3
2026-07-26 00:00:00+00:00,44,22,5,2
2026-07-27 00:00:00+00:00,33,17,1,1
2026-07-28 00:00:00+00:00,15,11,0,0
2026-07-29 00:00:00+00:00,31,14,16,3
2026-07-30 00:00:00+00:00,11,7,7,2
