url_path,views_total,views_unique
/caya8205-2/noctune,54,9
/caya8205-2/noctune/releases/tag/v3.4.0,9,4
/caya8205-2/noctune/releases/tag/v4.0.0,6,2
/caya8205-2/noctune/actions/workflows/github-repo-stats.yml,5,1
/caya8205-2/noctune/actions/workflows/pages/pages-build-deployment,4,1
/caya8205-2/noctune/releases,3,2
/caya8205-2/noctune/actions,3,1
/caya8205-2/noctune/actions/runs/31547113300,3,1
/caya8205-2/noctune/actions/runs/32536408047,3,1
/caya8205-2/noctune/actions/workflows/repository-traffic-card.yml,3,1
