time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-07 00:00:00+00:00,24,16,13,2
2026-09-08 00:00:00+00:00,7,6,4,1
2026-09-09 00:00:00+00:00,8,7,1,1
2026-09-10 00:00:00+00:00,17,11,0,0
2026-09-11 00:00:00+00:00,26,14,18,1
2026-09-12 00:00:00+00:00,29,15,18,1
2026-09-13 00:00:00+00:00,97,44,39,3
2026-09-14 00:00:00+00:00,7,6,11,3
2026-09-15 00:00:00+00:00,21,11,1,1
2026-09-16 00:00:00+00:00,30,16,5,2
2026-09-17 00:00:00+00:00,6,5,6,3
2026-09-18 00:00:00+00:00,6,5,2,1
2026-09-19 00:00:00+00:00,15,9,5,3
2026-09-20 00:00:00+00:00,45,23,1,1
