time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-10 00:00:00+00:00,46,22,49,2
2026-07-11 00:00:00+00:00,52,22,39,9
2026-07-12 00:00:00+00:00,47,35,25,4
2026-07-13 00:00:00+00:00,22,11,12,2
2026-07-14 00:00:00+00:00,103,43,125,1
2026-07-15 00:00:00+00:00,13,9,21,2
2026-07-16 00:00:00+00:00,20,11,7,3
2026-07-17 00:00:00+00:00,36,19,6,3
2026-07-18 00:00:00+00:00,32,17,33,4
2026-07-19 00:00:00+00:00,4,4,9,2
2026-07-20 00:00:00+00:00,49,18,6,2
2026-07-21 00:00:00+00:00,39,16,23,1
2026-07-22 00:00:00+00:00,60,33,32,3
2026-07-23 00:00:00+00:00,40,23,15,3
